,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.91013604,0.37451997,144.0,1,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
1,0.90734696,0.42134446,144.0,1,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
2,0.6182993,0.9199215,144.0,2,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
3,0.65537417,0.7052316,144.0,2,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
4,0.9654422,0.37208384,144.0,3,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
5,0.9823129,0.37667766,144.0,3,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
6,0.7968027,0.3669147,144.0,4,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
7,0.82054424,0.36217338,144.0,4,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
8,0.5945578,0.4184102,144.0,5,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
9,0.4582313,0.9173329,144.0,5,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
10,0.73156464,0.7620317,144.0,6,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
11,0.7827891,0.3608446,144.0,6,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
12,0.90863943,0.37018126,144.0,7,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
13,0.7745578,0.86918414,144.0,7,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
14,0.9710204,0.38736543,144.0,8,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
15,0.9785714,0.3715516,144.0,8,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
16,0.9442177,0.3916048,144.0,9,session_E,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
17,0.8023129,0.5975633,144.0,9,session_T,22,2,001-2014,CustomToTangentSpace_affine_LogisticRegression()
18,0.675,0.18760362,40.0,1,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
19,0.625,0.081670426,40.0,2,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
20,0.8125,0.18673435,40.0,3,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
21,0.8625,0.07601023,40.0,4,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
22,0.7625,0.35196176,40.0,5,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
23,0.625,0.11394081,40.0,6,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
24,1.0,0.06594205,40.0,7,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
25,0.9125,0.22155194,40.0,8,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_LogisticRegression()
26,0.93517005,0.6969179,144.0,1,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
27,0.8907483,0.23622265,144.0,1,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
28,0.657415,0.24823084,144.0,2,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
29,0.637483,0.21030226,144.0,2,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
30,0.9707483,0.43699154,144.0,3,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
31,0.9789796,0.6257614,144.0,3,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
32,0.7461905,0.33606505,144.0,4,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
33,0.8172789,0.6774343,144.0,4,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
34,0.6027211,0.21383443,144.0,5,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
35,0.5216327,0.22329435,144.0,5,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
36,0.6680272,0.19368939,144.0,6,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
37,0.71564627,0.29091635,144.0,6,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
38,0.8491837,0.43658656,144.0,7,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
39,0.79353744,0.20829225,144.0,7,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
40,0.96843535,0.19900937,144.0,8,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
41,0.9942857,0.37695783,144.0,8,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
42,0.96163267,0.23049144,144.0,9,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
43,0.71040815,0.20680232,144.0,9,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_LogisticRegression()
44,0.775,0.11999478,40.0,1,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
45,0.6375,0.051157475,40.0,2,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
46,0.75,0.099128865,40.0,3,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
47,0.9,0.060088824,40.0,4,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
48,0.6875,0.12629728,40.0,5,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
49,0.4375,0.043567132,40.0,6,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
50,1.0,0.08606219,40.0,7,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
51,0.925,0.051553153,40.0,8,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_LogisticRegression()
